"X"	"Function_0"
0.000000	1.703317
1024.000000	3.247915
2048.000000	6.802812
3072.000000	9.732500
4096.000000	13.281641
5120.000000	16.056406
6144.000000	19.453359
7168.000000	22.880469
8192.000000	25.684687
9216.000000	28.756016
10240.000000	32.044609
11264.000000	35.288359
12288.000000	38.689141
13312.000000	41.776016
14336.000000	44.969063
15360.000000	47.448984
16384.000000	50.949531
17408.000000	53.801328
18432.000000	57.199219
19456.000000	60.056719
20480.000000	63.492266
21504.000000	66.067187
22528.000000	69.105234
23552.000000	72.177969
24576.000000	75.025703
25600.000000	77.520078
26624.000000	80.631328
27648.000000	83.574531
28672.000000	85.994453
29696.000000	89.330625
30720.000000	91.721172
31744.000000	94.445078
32768.000000	97.778750
33792.000000	100.110859
34816.000000	103.493359
35840.000000	105.512109
36864.000000	108.108281
37888.000000	110.838516
38912.000000	113.358750
39936.000000	116.141406
40960.000000	118.712969
41984.000000	120.781094
43008.000000	123.099766
44032.000000	125.537813
45056.000000	127.913672
46080.000000	130.427656
47104.000000	132.432187
48128.000000	135.051719
49152.000000	137.258125
50176.000000	139.503594
51200.000000	141.787734
52224.000000	144.301953
53248.000000	145.997734
54272.000000	148.025859
55296.000000	150.470469
56320.000000	152.489531
57344.000000	154.306953
58368.000000	156.222109
59392.000000	158.370313
60416.000000	160.308203
61440.000000	162.479219
62464.000000	164.129766
63488.000000	166.436641
64512.000000	168.182813
65536.000000	170.424687
66560.000000	172.275391
67584.000000	174.017578
68608.000000	175.807422
69632.000000	177.505781
70656.000000	179.235781
71680.000000	180.869297
72704.000000	182.601250
73728.000000	184.186641
74752.000000	185.754531
75776.000000	187.290156
76800.000000	188.806406
77824.000000	190.284297
78848.000000	191.572969
79872.000000	193.223984
80896.000000	194.409531
81920.000000	195.998281
82944.000000	197.088516
83968.000000	198.548047
84992.000000	200.207422
86016.000000	201.269766
87040.000000	202.349453
88064.000000	203.692578
89088.000000	204.934766
90112.000000	206.185625
91136.000000	207.128437
92160.000000	208.550078
93184.000000	209.601328
94208.000000	210.666797
95232.000000	211.619375
96256.000000	212.960469
97280.000000	213.796875
98304.000000	214.874375
99328.000000	215.727500
100352.000000	216.573672
101376.000000	217.726484
102400.000000	218.594219
103424.000000	219.402969
104448.000000	220.054062
105472.000000	221.044531
106496.000000	221.868125
107520.000000	222.770234
108544.000000	223.591094
109568.000000	224.415859
110592.000000	225.205078
111616.000000	225.821953
112640.000000	226.605625
113664.000000	227.282500
114688.000000	227.777969
115712.000000	228.599297
116736.000000	229.450312
117760.000000	229.922656
118784.000000	230.398906
119808.000000	231.121094
120832.000000	231.777813
121856.000000	232.251797
122880.000000	232.719687
123904.000000	233.203281
124928.000000	233.858281
125952.000000	234.393281
126976.000000	234.895469
128000.000000	235.405859
129024.000000	235.952891
130048.000000	236.233516
131072.000000	236.814297
132096.000000	237.190859
133120.000000	237.538906
134144.000000	238.184297
135168.000000	238.576797
136192.000000	238.886406
137216.000000	239.381094
138240.000000	239.765078
139264.000000	240.102969
140288.000000	240.424062
141312.000000	240.881016
142336.000000	241.126875
143360.000000	241.554062
144384.000000	241.901328
145408.000000	242.203516
146432.000000	242.492266
147456.000000	242.890391
148480.000000	243.039766
149504.000000	243.402656
150528.000000	243.701250
151552.000000	244.120391
152576.000000	244.402031
153600.000000	244.416094
154624.000000	244.811016
155648.000000	245.073203
156672.000000	245.291641
157696.000000	245.499609
158720.000000	245.877500
159744.000000	245.915703
160768.000000	246.246328
161792.000000	246.521250
162816.000000	246.646328
163840.000000	246.960625
164864.000000	246.966172
165888.000000	247.109844
166912.000000	247.330000
167936.000000	247.688594
168960.000000	247.799453
169984.000000	247.883125
171008.000000	248.172969
172032.000000	248.261250
173056.000000	248.391719
174080.000000	248.549531
175104.000000	248.650078
176128.000000	248.898906
177152.000000	248.997344
178176.000000	249.132734
179200.000000	249.365234
180224.000000	249.430469
181248.000000	249.523281
182272.000000	249.692656
183296.000000	249.575469
184320.000000	249.924766
185344.000000	249.908047
186368.000000	250.127109
187392.000000	250.206328
188416.000000	250.397109
189440.000000	250.362109
190464.000000	250.553047
191488.000000	250.665156
192512.000000	250.542188
193536.000000	250.652422
194560.000000	250.843281
195584.000000	250.736250
196608.000000	251.020078
197632.000000	251.058984
198656.000000	251.271953
199680.000000	251.053359
200704.000000	251.310625
201728.000000	251.284687
202752.000000	251.344453
203776.000000	251.478906
204800.000000	251.628750
205824.000000	251.570859
206848.000000	251.638438
207872.000000	251.666797
208896.000000	251.666719
209920.000000	251.880547
210944.000000	251.885234
211968.000000	251.937734
212992.000000	252.072109
214016.000000	252.010625
215040.000000	251.980000
216064.000000	252.029609
217088.000000	252.069453
218112.000000	252.283984
219136.000000	252.235781
220160.000000	252.235547
221184.000000	252.347031
222208.000000	252.106484
223232.000000	252.313516
224256.000000	252.381406
225280.000000	252.413125
226304.000000	252.596172
227328.000000	252.497500
228352.000000	252.488828
229376.000000	252.699219
230400.000000	252.631953
231424.000000	252.551094
232448.000000	252.666641
233472.000000	252.733984
234496.000000	252.613672
235520.000000	252.685625
236544.000000	252.748672
237568.000000	252.742422
238592.000000	252.863594
239616.000000	252.926172
240640.000000	252.871563
241664.000000	252.787266
242688.000000	252.894922
243712.000000	252.850703
244736.000000	252.932656
245760.000000	252.936719
246784.000000	252.874687
247808.000000	253.062656
248832.000000	252.977188
249856.000000	253.062422
250880.000000	252.735312
251904.000000	252.875937
252928.000000	252.760859
253952.000000	252.930859
254976.000000	252.924141
256000.000000	253.097266
257024.000000	252.922500
258048.000000	252.966797
259072.000000	252.923594
260096.000000	252.985469
