X, Function_0
0.000000	,2.850286
1024.000000	,4.377818
2048.000000	,6.717842
3072.000000	,10.382422
4096.000000	,13.181484
5120.000000	,16.609609
6144.000000	,19.346250
7168.000000	,22.660859
8192.000000	,25.407266
9216.000000	,29.102969
10240.000000,	31.727969
11264.000000,	34.429375
12288.000000,	38.343906
13312.000000,	40.714688
14336.000000,	44.011719
15360.000000,	47.411484
16384.000000,	49.728828
17408.000000,	52.936953
18432.000000,	57.510469
19456.000000,	58.985547
20480.000000,	62.353594
21504.000000,	65.205312
22528.000000,	68.495078
23552.000000,	70.647578
24576.000000,	73.694062
25600.000000,	77.122969
26624.000000,	79.505078
27648.000000,	82.354922
28672.000000,	85.415547
29696.000000,	88.181484
30720.000000,	91.020469
31744.000000,	93.759219
32768.000000,	95.777500
33792.000000,	99.026719
34816.000000,	101.564844
35840.000000,	104.479766
36864.000000,	106.862891
37888.000000,	109.594141
38912.000000,	111.615547
39936.000000,	114.425313
40960.000000,	116.711641
41984.000000,	119.399141
43008.000000,	122.099844
44032.000000,	124.441328
45056.000000,	126.473438
46080.000000,	128.703125
47104.000000,	131.218203
48128.000000,	133.098828
49152.000000,	135.700859
50176.000000,	138.373828
51200.000000,	140.376797
52224.000000,	142.405000
53248.000000,	144.684844
54272.000000,	146.580781
55296.000000,	149.305156
56320.000000,	150.988359
57344.000000,	152.700313
58368.000000,	154.884688
59392.000000,	157.140859
60416.000000,	159.318281
61440.000000,	160.381797
62464.000000,	163.354453
63488.000000,	164.664531
64512.000000,	166.371250
65536.000000,	168.618906
66560.000000,	170.448516
67584.000000,	172.181172
68608.000000,	173.707969
69632.000000,	175.564609
70656.000000,	176.780391
71680.000000,	179.061172
72704.000000,	180.397578
73728.000000,	181.988672
74752.000000,	183.583750
75776.000000,	184.917031
76800.000000,	186.818828
77824.000000,	187.815938
78848.000000,	189.421562
79872.000000,	191.175156
80896.000000,	192.404844
81920.000000,	193.744766
82944.000000,	195.095859
83968.000000,	196.474141
84992.000000,	197.471328
86016.000000,	198.994063
87040.000000,	200.417578
88064.000000,	201.852266
89088.000000,	202.728984
90112.000000,	204.343359
91136.000000,	205.001953
92160.000000,	206.368125
93184.000000,	207.497187
94208.000000,	208.464687
95232.000000,	209.720547
96256.000000,	210.697656
97280.000000,	211.861797
98304.000000,	212.955234
99328.000000,	213.754609
100352.000000,	214.610156
101376.000000,	215.923750
102400.000000,	216.979609
103424.000000,	217.506094
104448.000000,	218.694766
105472.000000,	219.341953
106496.000000,	220.232188
107520.000000,	220.994453
108544.000000,	221.916797
109568.000000,	222.748906
110592.000000,	223.476953
111616.000000,	224.227734
112640.000000,	224.930469
113664.000000,	225.788750
114688.000000,	226.234531
115712.000000,	226.931719
116736.000000,	227.780000
117760.000000,	228.355312
118784.000000,	229.266797
119808.000000,	229.863438
120832.000000,	230.309063
121856.000000,	230.843906
122880.000000,	231.446328
123904.000000,	232.126250
124928.000000,	232.725859
125952.000000,	233.191172
126976.000000,	233.778750
128000.000000,	234.381250
129024.000000,	234.695938
130048.000000,	235.539844
131072.000000,	235.636641
132096.000000,	236.220000
133120.000000,	236.688047
134144.000000,	236.916406
135168.000000,	237.841016
136192.000000,	238.006250
137216.000000,	238.481641
138240.000000,	238.781641
139264.000000,	239.198750
140288.000000,	239.679844
141312.000000,	239.966328
142336.000000,	240.377422
143360.000000,	240.609141
144384.000000,	240.934609
145408.000000,	241.463750
146432.000000,	241.813281
147456.000000,	242.064609
148480.000000,	242.527344
149504.000000,	242.727031
150528.000000,	243.018438
151552.000000,	243.411172
152576.000000,	243.599063
153600.000000,	243.907656
154624.000000,	244.176484
155648.000000,	244.308281
156672.000000,	244.728516
157696.000000,	244.996953
158720.000000,	245.357969
159744.000000,	245.591641
160768.000000,	245.821875
161792.000000,	246.056953
162816.000000,	246.231875
163840.000000,	246.493359
164864.000000,	246.645391
165888.000000,	246.890312
166912.000000,	247.220703
167936.000000,	247.332266
168960.000000,	247.460312
169984.000000,	247.649531
171008.000000,	247.951406
172032.000000,	248.170547
173056.000000,	248.207656
174080.000000,	248.448438
175104.000000,	248.627187
176128.000000,	248.698125
177152.000000,	248.914141
178176.000000,	248.906406
179200.000000,	249.190156
180224.000000,	249.297344
181248.000000,	249.540547
182272.000000,	249.548203
183296.000000,	249.764922
184320.000000,	249.885312
185344.000000,	249.893906
186368.000000,	250.025000
187392.000000,	250.235938
188416.000000,	250.212109
189440.000000,	250.410000
190464.000000,	250.396953
191488.000000,	250.626797
192512.000000,	250.853516
193536.000000,	250.735156
194560.000000,	250.848516
195584.000000,	251.059609
196608.000000,	251.207266
197632.000000,	251.161406
198656.000000,	251.250937
199680.000000,	251.349297
200704.000000,	251.468203
201728.000000,	251.467109
202752.000000,	251.536484
203776.000000,	251.631094
204800.000000,	251.791562
205824.000000,	251.770312
206848.000000,	251.862812
207872.000000,	251.878594
208896.000000,	251.995547
209920.000000,	252.022578
210944.000000,	252.235391
211968.000000,	252.017344
212992.000000,	252.291094
214016.000000,	252.252109
215040.000000,	252.280313
216064.000000,	252.317187
217088.000000,	252.330547
218112.000000,	252.504375
219136.000000,	252.491719
220160.000000,	252.516250
221184.000000,	252.564687
222208.000000,	252.491484
223232.000000,	252.644453
224256.000000,	252.541875
225280.000000,	252.688906
226304.000000,	252.501250
227328.000000,	252.741641
228352.000000,	252.857656
229376.000000,	252.899844
230400.000000,	252.878125
231424.000000,	252.853984
232448.000000,	253.115234
233472.000000,	252.915078
234496.000000,	253.003906
235520.000000,	253.011875
236544.000000,	253.065313
237568.000000,	253.207109
238592.000000,	253.140469
239616.000000,	253.264922
240640.000000,	253.040703
241664.000000,	253.129687
242688.000000,	253.070078
243712.000000,	253.175156
244736.000000,	253.254844
245760.000000,	253.299062
246784.000000,	253.313047
247808.000000,	253.350469
248832.000000,	253.327734
249856.000000,	253.376016
250880.000000,	253.185078
251904.000000,	253.464687
252928.000000,	253.424766
253952.000000,	253.359141
254976.000000,	253.358594
256000.000000,	253.394141
257024.000000,	253.474453
258048.000000,	253.635859
