X, Function_0
0.000000   , 1.284816
1024.000000,	3.877854
2048.000000,	6.452266
3072.000000,	9.395391
4096.000000,	13.404141
5120.000000,	16.122422
6144.000000,	19.090078
7168.000000,	22.551172
8192.000000,	26.037266
9216.000000,	29.095078
10240.000000,	32.377266
11264.000000,	35.642812
12288.000000,	38.740469
13312.000000,	41.645547
14336.000000,	44.764609
15360.000000,	48.239219
16384.000000,	50.965000
17408.000000,	53.961484
18432.000000,	57.488047
19456.000000,	60.240469
20480.000000,	62.877031
21504.000000,	65.954922
22528.000000,	69.084766
23552.000000,	71.770703
24576.000000,	74.685312
25600.000000,	77.797734
26624.000000,	80.758906
27648.000000,	83.504375
28672.000000,	86.379531
29696.000000,	89.116562
30720.000000,	92.338984
31744.000000,	94.804063
32768.000000,	97.947187
33792.000000,	100.476797
34816.000000,	103.286328
35840.000000,	106.144531
36864.000000,	108.704531
37888.000000,	111.217656
38912.000000,	113.935156
39936.000000,	116.407734
40960.000000,	118.801719
41984.000000,	121.259219
43008.000000,	124.023984
44032.000000,	125.979531
45056.000000,	128.702969
46080.000000,	130.931875
47104.000000,	133.565469
48128.000000,	135.672344
49152.000000,	137.636328
50176.000000,	139.882109
51200.000000,	141.970547
52224.000000,	144.497578
53248.000000,	146.668672
54272.000000,	148.621328
55296.000000,	151.047656
56320.000000,	152.980312
57344.000000,	154.949922
58368.000000,	156.929844
59392.000000,	158.984687
60416.000000,	160.977422
61440.000000,	162.813281
62464.000000,	164.891797
63488.000000,	166.781016
64512.000000,	168.510937
65536.000000,	170.714766
66560.000000,	172.302891
67584.000000,	174.258047
68608.000000,	176.017266
69632.000000,	177.677500
70656.000000,	179.357578
71680.000000,	181.182422
72704.000000,	182.627656
73728.000000,	184.307656
74752.000000,	185.565156
75776.000000,	187.392891
76800.000000,	188.748750
77824.000000,	190.392188
78848.000000,	191.759297
79872.000000,	193.216250
80896.000000,	194.667188
81920.000000,	195.870313
82944.000000,	197.167656
83968.000000,	198.778047
84992.000000,	199.925547
86016.000000,	201.166172
87040.000000,	202.489766
88064.000000,	203.502891
89088.000000,	204.970156
90112.000000,	206.076875
91136.000000,	207.041797
92160.000000,	208.264844
93184.000000,	209.514688
94208.000000,	210.331094
95232.000000,	211.540234
96256.000000,	212.631406
97280.000000,	213.620781
98304.000000,	214.757578
99328.000000,	215.630313
100352.000000,	216.533750
101376.000000,	217.660859
102400.000000,	218.415391
103424.000000,	219.284141
104448.000000,	220.181953
105472.000000,	220.885859
106496.000000,	221.789922
107520.000000,	222.622031
108544.000000,	223.420547
109568.000000,	224.138125
110592.000000,	224.812969
111616.000000,	225.670547
112640.000000,	226.406328
113664.000000,	227.150703
114688.000000,	227.807109
115712.000000,	228.461641
116736.000000,	229.090000
117760.000000,	229.613438
118784.000000,	230.182187
119808.000000,	230.867656
120832.000000,	231.585312
121856.000000,	232.000313
122880.000000,	232.581172
123904.000000,	233.231094
124928.000000,	233.617578
125952.000000,	234.246016
126976.000000,	234.659766
128000.000000,	235.216953
129024.000000,	235.574375
130048.000000,	236.213125
131072.000000,	236.486094
132096.000000,	236.924062
133120.000000,	237.329922
134144.000000,	237.708828
135168.000000,	238.294766
136192.000000,	238.559141
137216.000000,	239.039453
138240.000000,	239.434453
139264.000000,	239.712266
140288.000000,	240.019062
141312.000000,	240.342656
142336.000000,	240.816094
143360.000000,	241.196328
144384.000000,	241.497891
145408.000000,	241.790469
146432.000000,	242.224063
147456.000000,	242.401328
148480.000000,	242.664297
149504.000000,	242.959297
150528.000000,	243.174531
151552.000000,	243.592422
152576.000000,	243.600313
153600.000000,	243.795625
154624.000000,	244.285547
155648.000000,	244.574375
156672.000000,	244.660625
157696.000000,	245.102578
158720.000000,	245.253359
159744.000000,	245.519219
160768.000000,	245.674141
161792.000000,	245.858203
162816.000000,	246.107500
163840.000000,	246.037187
164864.000000,	246.432187
165888.000000,	246.562969
166912.000000,	246.760859
167936.000000,	246.950859
168960.000000,	247.008438
169984.000000,	247.230547
171008.000000,	247.504844
172032.000000,	247.622578
173056.000000,	247.734141
174080.000000,	247.772109
175104.000000,	247.919141
176128.000000,	248.251641
177152.000000,	248.208984
178176.000000,	248.416172
179200.000000,	248.526641
180224.000000,	248.634531
181248.000000,	248.645625
182272.000000,	248.876328
183296.000000,	248.954922
184320.000000,	249.011719
185344.000000,	249.189766
186368.000000,	249.229609
187392.000000,	249.496016
188416.000000,	249.512969
189440.000000,	249.530937
190464.000000,	249.578594
191488.000000,	249.764375
192512.000000,	249.761875
193536.000000,	249.945156
194560.000000,	249.964141
195584.000000,	250.061563
196608.000000,	250.219609
197632.000000,	250.073359
198656.000000,	250.277578
199680.000000,	250.263359
200704.000000,	250.383281
201728.000000,	250.498047
202752.000000,	250.568437
203776.000000,	250.509062
204800.000000,	250.561641
205824.000000,	250.631719
206848.000000,	250.637109
207872.000000,	250.739766
208896.000000,	250.881953
209920.000000,	250.801172
210944.000000,	250.936797
211968.000000,	251.023828
212992.000000,	251.061328
214016.000000,	251.123984
215040.000000,	251.041094
216064.000000,	251.110781
217088.000000,	251.143359
218112.000000,	251.261719
219136.000000,	251.252109
220160.000000,	251.257422
221184.000000,	251.183984
222208.000000,	251.302266
223232.000000,	251.381563
224256.000000,	251.405625
225280.000000,	251.384453
226304.000000,	251.383203
227328.000000,	251.457891
228352.000000,	251.448125
229376.000000,	251.583906
230400.000000,	251.357266
231424.000000,	251.471875
232448.000000,	251.435391
233472.000000,	251.626328
234496.000000,	251.599219
235520.000000,	251.578594
236544.000000,	251.596484
237568.000000,	251.878437
238592.000000,	251.686406
239616.000000,	251.757891
240640.000000,	251.679453
241664.000000,	251.744375
242688.000000,	251.727344
243712.000000,	251.862656
244736.000000,	251.848047
245760.000000,	251.883203
246784.000000,	251.972266
247808.000000,	251.828516
248832.000000,	251.850781
249856.000000,	252.033281
250880.000000,	251.900937
251904.000000,	251.811719
252928.000000,	251.795078
253952.000000,	251.926172
254976.000000,	251.955000
256000.000000,	252.025859
257024.000000,	252.113203
258048.000000,	251.753047
259072.000000,	252.154297
260096.000000,	252.079375
