X, Function_0
0.000000,	-10.068416
10.000000,	-6.236746
20.000000,	-7.489717
30.000000,	-7.501485
40.000000,	-4.591185
50.000000,	-9.862022
60.000000,	-8.534082
70.000000,	-7.920235
80.000000,	-9.351071
90.000000,	-3.966218
100.000000,	-2.862471
110.000000,	0.830941
120.000000,	1.805147
130.000000,	4.211962
140.000000,	8.511122
150.000000,	8.023166
160.000000,	9.537466
170.000000,	9.067987
180.000000,	3.950814
190.000000,	0.244952
200.000000,	-2.899821
210.000000,	2.954912
220.000000,	-2.508463
230.000000,	-0.144602
240.000000,	-6.535479
250.000000,	-8.590434
260.000000,	-3.004559
270.000000,	-5.512643
280.000000,	-11.934929
290.000000,	-8.466449
300.000000,	-10.189336
310.000000,	-7.772372
320.000000,	-6.967444
330.000000,	-7.485110
340.000000,	-7.160785
350.000000,	-5.571015
360.000000,	-8.441289
370.000000,	-8.147817
380.000000,	-6.206392
390.000000,	-8.435649
400.000000,	-8.832124
410.000000,	-5.791279
420.000000,	-6.854670
430.000000,	-6.787110
440.000000,	-8.667309
450.000000,	-10.112349
460.000000,	-8.164635
470.000000,	-5.857394
480.000000,	-10.597033
490.000000,	-9.853377
500.000000,	-8.767492
510.000000,	-12.100854
520.000000,	-7.041467
530.000000,	-8.050385
540.000000,	-7.452096
550.000000,	-9.732078
560.000000,	-7.485636
570.000000,	-5.471388
580.000000,	-7.128787
590.000000,	-11.048459
600.000000,	-6.212061
610.000000,	-7.248053
620.000000,	-9.453794
630.000000,	-8.074690
640.000000,	-9.543288
650.000000,	-6.353704
660.000000,	-8.622719
670.000000,	-10.909372
680.000000,	-10.056849
690.000000,	-9.793815
700.000000,	-10.921517
710.000000,	-9.414432
720.000000,	-11.922024
730.000000,	-8.663875
740.000000,	-8.275956
750.000000,	-5.214443
760.000000,	-12.082858
770.000000,	-7.065820
780.000000,	-8.275866
790.000000,	-5.798700
800.000000,	-10.098093
810.000000,	-5.699616
820.000000,	-11.325543
830.000000,	-4.694121
840.000000,	-10.765053
850.000000,	-5.911330
860.000000,	-11.059704
870.000000,	-7.984183
880.000000,	-6.075472
890.000000,	-11.570223
900.000000,	-8.142774
910.000000,	-11.247402
920.000000,	-8.504013
930.000000,	-8.025753
940.000000,	-5.622830
950.000000,	-6.891760
960.000000,	-8.760095
970.000000,	-8.086273
980.000000,	-5.543203
990.000000,	-10.677206
